min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise
5,0.03,0.03,2,0.8842592592592593,0.47037500269976706,0.4125
5,0.03,0.08,1,0.0,,0.25
5,0.05,0.03,1,0.0,,0.25
5,0.05,0.05,1,0.0,,0.25
5,0.05,0.08,1,0.0,,0.25
5,0.08,0.03,1,0.0,,0.25
5,0.08,0.05,1,0.0,,0.25
5,0.08,0.08,1,0.0,,0.25
5,0.1,0.03,1,0.0,,0.25
5,0.1,0.05,1,0.0,,0.25
5,0.1,0.08,1,0.0,,0.25
10,0.03,0.05,1,0.0,,0.25
10,0.03,0.08,1,0.0,,0.25
10,0.05,0.03,1,0.0,,0.25
10,0.05,0.05,1,0.0,,0.25
10,0.05,0.08,1,0.0,,0.25
10,0.08,0.03,1,0.0,,0.25
10,0.08,0.05,1,0.0,,0.25
10,0.08,0.08,1,0.0,,0.25
10,0.1,0.03,1,0.0,,0.25
10,0.1,0.05,1,0.0,,0.25
10,0.1,0.08,1,0.0,,0.25
15,0.03,0.03,1,0.0,,0.25
15,0.03,0.05,1,0.0,,0.25
15,0.03,0.08,1,0.0,,0.25
15,0.05,0.03,1,0.0,,0.25
15,0.05,0.05,1,0.0,,0.25
15,0.05,0.08,1,0.0,,0.25
15,0.08,0.03,1,0.0,,0.25
15,0.08,0.05,1,0.0,,0.25
15,0.08,0.08,1,0.0,,0.25
15,0.1,0.03,1,0.0,,0.25
15,0.1,0.05,1,0.0,,0.25
15,0.1,0.08,1,0.0,,0.25
20,0.03,0.03,1,0.0,,0.25
20,0.03,0.05,1,0.0,,0.25
20,0.03,0.08,1,0.0,,0.25
20,0.05,0.03,1,0.0,,0.25
20,0.05,0.05,1,0.0,,0.25
20,0.05,0.08,1,0.0,,0.25
20,0.08,0.03,1,0.0,,0.25
20,0.08,0.05,1,0.0,,0.25
20,0.08,0.08,1,0.0,,0.25
20,0.1,0.03,1,0.0,,0.25
20,0.1,0.05,1,0.0,,0.25
20,0.1,0.08,1,0.0,,0.25
5,0.03,0.05,1,0.9262152777777778,,0.4627450980392157
10,0.03,0.03,1,0.9586226851851852,,0.32167832167832167
